"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60380","Create dealer request","chromium","Mon Sep 29 13:06:15 IST 2025","broken","Mon Sep 29 13:07:15 IST 2025","","manual.spec.js","",""
"","60237","Create dealer request","Mobile Chrome","Mon Sep 29 13:06:15 IST 2025","broken","Mon Sep 29 13:07:15 IST 2025","","manual.spec.js","",""
